GRID*,X,Y,Z
404,-2.405990941E-3,-4.924872046E-3,9.451883616E-2
405,-3.119002722E-2,-3.408731327E-3,6.862425702E-2
406,-2.675935279E-2,-1.587094229E-2,6.888810885E-2
407,-2.310293687E-2,-7.895726449E-3,7.558508267E-2
408,-1.588009797E-2,-1.711816693E-2,7.665028586E-2
409,-2.081244022E-3,2.353340073E-3,9.685837842E-2
410,-3.198032756E-3,3.062200639E-3,9.557230463E-2
411,-7.393913937E-3,8.535897587E-3,8.870701497E-2
412,-2.992628686E-2,9.400528833E-3,6.863198145E-2
413,-8.999430536E-3,-2.390692909E-2,7.445531350E-2
414,-1.811568920E-2,-2.657639178E-2,6.783662338E-2
415,-9.269516961E-4,-1.580973233E-2,8.416311660E-2
416,-2.174147939E-2,1.258390108E-2,7.487936122E-2
417,-5.399468942E-3,6.168870735E-3,9.180187637E-2
418,-1.178598047E-2,6.718373221E-3,8.643364919E-2
419,-3.840178370E-3,4.320377077E-3,9.421963427E-2
420,-3.326007259E-3,1.821654505E-3,9.620780414E-2
421,-1.638497888E-3,-1.911931509E-3,9.748203308E-2
422,-2.952901588E-3,-6.808302528E-3,9.257890769E-2
423,-5.195208280E-3,-1.262838082E-2,8.634473760E-2
424,-3.793651822E-3,-9.253937858E-3,8.999864209E-2
425,-2.354280864E-3,-9.933424450E-4,9.744473727E-2
426,-2.352652482E-2,2.835360290E-3,7.630323570E-2
427,-7.116512421E-3,-1.742820696E-2,8.117482677E-2
428,-3.307742698E-3,-3.292597038E-3,9.533284273E-2
429,-2.856593068E-3,8.924932115E-4,9.700723070E-2
430,-2.585419245E-3,-2.231633778E-3,9.658465492E-2
431,-6.018494637E-3,-6.386738554E-3,9.122431159E-2
432,-4.712092835E-3,-4.596529272E-3,9.341730297E-2
433,-1.664115159E-2,-9.948509441E-3,8.061183953E-2
434,-1.626727353E-2,3.072329355E-3,8.344513981E-2
435,-1.846259473E-2,-2.932790955E-3,8.130591893E-2
436,-8.520703980E-3,4.762767835E-3,9.023852707E-2
437,-3.208255686E-3,-2.303529325E-4,9.678348527E-2
438,-4.789525993E-3,-5.909034234E-4,9.517416058E-2
439,-4.333966847E-3,6.354087320E-4,9.561970173E-2
440,-8.264341380E-3,1.689754555E-3,9.156468087E-2
441,-6.094855525E-3,3.285552684E-3,9.307597514E-2
442,-4.862588431E-3,1.983558861E-3,9.474840291E-2
443,-6.564172803E-3,1.130581887E-4,9.343485364E-2
444,-7.857691686E-3,-8.786307496E-3,8.821261191E-2
445,-1.159921085E-2,2.185663864E-3,8.819666069E-2
446,-1.081388040E-2,-1.231177733E-2,8.361342408E-2
447,-5.186859301E-3,-2.303616948E-3,9.432460042E-2
448,-3.584972799E-3,-1.499651817E-3,9.611400135E-2
449,-1.357290085E-2,-1.980764044E-3,8.628332899E-2
450,-9.501144552E-3,-4.869033758E-3,8.932389408E-2
451,-7.228337611E-3,-3.100471727E-3,9.213477339E-2
452,-9.729983172E-3,-1.092400279E-3,9.020888613E-2
453,-1.271810502E-2,-6.917868818E-3,8.552218579E-2
